DAL,GSW,48
DAL,CHA,31
DAL,CHI,28
DAL,DET,40
DAL,SAS,40
DAL,MIN,34
DAL,ATL,45
DAL,UTH,32
DAL,NYK,47
DAL,NOP,31
DAL,PHX,48
DAL,BKN,62
DAL,MIA,42
DAL,WAS,46
ATL,TOR,28
ATL,CLE,51
ATL,IND,37
ATL,GSW,64
ATL,CHA,35
ATL,CHI,47
ATL,DET,84
ATL,MIN,33
ATL,SAS,44
ATL,UTH,40
ATL,NYK,59
ATL,NOP,28
ATL,PHX,44
ATL,BKN,52
ATL,MIA,22
ATL,WAS,67
GSW,TOR,22
GSW,CLE,59
GSW,WAS,58
GSW,IND,38
GSW,CHA,36
GSW,CHI,54
GSW,DET,53
GSW,MIN,36
GSW,SAS,53
GSW,UTH,34
GSW,NYK,43
GSW,NOP,20
GSW,PHX,50
GSW,BKN,53
GSW,MIA,33
IND,TOR,28
IND,CLE,34
IND,WAS,30
IND,CHA,27
IND,CHI,34
IND,DET,30
IND,MIN,26
IND,SAS,27
IND,UTH,26
IND,NYK,33
IND,NOP,19
IND,PHX,36
IND,BKN,48
IND,MIA,19
MIA,TOR,31
MIA,CLE,40
MIA,WAS,31
MIA,CHA,33
MIA,CHI,24
MIA,DET,28
MIA,MIN,30
MIA,SAS,29
MIA,UTH,16
MIA,NYK,37
MIA,NOP,20
MIA,PHX,45
MIA,BKN,44
TOR,CLE,35
TOR,CHA,22
TOR,CHI,33
TOR,DET,40
TOR,SAS,40
TOR,MIN,31
TOR,UTH,27
TOR,NYK,28
TOR,NOP,27
TOR,PHX,39
TOR,BKN,40
TOR,WAS,30
DET,CLE,42
DET,CHA,34
DET,CHI,51
DET,MIN,28
DET,SAS,32
DET,UTH,35
DET,NYK,57
DET,NOP,15
DET,PHX,42
DET,BKN,53
DET,WAS,73
NYK,CLE,51
NYK,CHA,30
NYK,CHI,55
NYK,MIN,32
NYK,SAS,31
NYK,UTH,30
NYK,NOP,23
NYK,PHX,52
NYK,BKN,54
NYK,WAS,59
WAS,CLE,46
WAS,CHA,39
WAS,CHI,52
WAS,MIN,37
WAS,SAS,45
WAS,UTH,39
WAS,NOP,26
WAS,PHX,44
WAS,BKN,56
BKN,CLE,73
BKN,CHA,52
BKN,CHI,52
BKN,SAS,57
BKN,MIN,41
BKN,UTH,39
BKN,NOP,33
BKN,PHX,59
PHX,CLE,52
PHX,CHA,37
PHX,CHI,55
PHX,SAS,33
PHX,MIN,32
PHX,UTH,44
PHX,NOP,28
CHA,CLE,36
CHA,CHI,39
CHA,MIN,23
CHA,SAS,39
CHA,UTH,15
CHA,NOP,36
NOP,CLE,29
NOP,CHI,35
NOP,MIN,21
NOP,SAS,23
NOP,UTH,13
CLE,CHI,54
CLE,MIN,29
CLE,SAS,52
CLE,UTH,45
CHI,SAS,56
CHI,MIN,32
CHI,UTH,30
UTH,SAS,35
UTH,MIN,35
MIN,SAS,33
